ptid;enid;name;fullname
3518;4816;stat_StatensVegvesen;Stat, Statens vegvesen
3518;18584;stat_NyeVeier;Stat, Nye Veier
3518;19731;fylkeskommune;Fylkeskommune
3518;4815;privat_Telenor;Privat, Telenor
3518;19784;privat_Ice;Privat, Ice
3518;19785;privat_Telia;Privat, Telia
3518;17593;uavklart;Uavklart
3779;4822;radio;Radio
3779;4823;strålekabel;Strålekabel
3779;4821;mobiltelefon;Mobiltelefon
8106;10500;statensVegvesen;Statens vegvesen
8106;18790;nyeVeier;Nye Veier
8106;19964;fylkeskommune;Fylkeskommune
8106;18919;OPS;OPS
8106;10578;kommune;Kommune
8106;10656;privat;Privat
8106;17747;uavklart;Uavklart
5540;7876;anlegg;Anlegg
5540;7877;vedlikehold;Vedlikehold
11322;19130;stat_StatensVegvesen;Stat, Statens vegvesen
11322;19129;stat_NyeVeier;Stat, Nye Veier
11322;19126;fylkeskommune;Fylkeskommune
11322;19127;kommune;Kommune
11322;19128;privat;Privat
11322;19131;uavklart;Uavklart
5483;7450;G;Glassfiber
5483;7451;S;Stål
5483;7452;P;Plast
5483;19120;T;Tre
11321;19121;underSlitelag;Under slitelag
11321;19122;underBindlag;Under bindlag
11321;19123;underBærelag;Under bærelag
11321;19124;underForsterkningslagPåTraubunn;Under forsterkningslag/på traubunn
11321;19125;underIFylling;Under/i fylling
8118;10512;statensVegvesen;Statens vegvesen
8118;18775;nyeVeier;Nye Veier
8118;19973;fylkeskommune;Fylkeskommune
8118;18904;OPS;OPS
8118;10590;kommune;Kommune
8118;10668;privat;Privat
8118;17756;uavklart;Uavklart
9993;16234;ja;Ja
9993;16235;nei;Nei
4162;5135;noeHøyVerdi;Noe høy verdi
4162;5134;høyVerdi;Høy verdi
4162;5133;sværtHøyVerdi;Svært høy verdi
4163;5137;utføresEtterSærskiltBeskrivelse;Utføres etter særskilt beskrivelse
4163;5138;utføresSomAvtaltIDriftskontrakt;Utføres som avtalt i driftskontrakt
9992;16231;skalBareHaSlått1;Skal bare ha slått 1
9992;16232;skalBareHaSlått2;Skal bare ha slått 2
9992;19832;1mBreddeSlått1_FullBreddeSlått2;1m bredde slått 1, full bredde slått 2
9992;16233;skalHaSlått1Og2;Skal ha slått 1 og 2
9992;17887;følgerOrdinærKantklippIKontrakt;Følger ordinær kantklipp i kontrakt
9992;17888;klippIHhtEgenSkjøtselsplan;Klipp i hht egen skjøtselsplan
9990;16221;alle;Alle
9990;16222;asfaltkantsone;Asfaltkantsone
9990;16223;midtsone;Midtsone
9990;16224;grøft;Grøft
9990;16225;bakkantsone;Bakkantsone
9990;16226;bakkantsoneOgGrøft;Bakkantsone og grøft
9991;16228;ja;Ja
9991;16229;nei;Nei
9989;16217;tørrengvegkant;Tørrengvegkant
9989;16218;frisk_FuktigHøgstaudeVegkant;Frisk-fuktig/ høgstaude vegkant
9989;16219;nordligAlpinVegkant;Nordlig/alpin vegkant
9989;16220;fukteng_VåtengVegkant;Fukteng-våteng vegkant
9989;16254;annenTypeVegkant;Annen type vegkant
9370;13097;strekningMedATK_Punkter;Strekning med ATK-punkter
9370;13098;streknings_ATK;Streknings-ATK
9521;13448;stat_StatensVegvesen;Stat, Statens vegvesen
9521;18649;stat_NyeVeier;Stat, Nye Veier
9521;17620;uavklart;Uavklart
9525;13444;DR_410;DR 410
9525;13445;axspeed;Axspeed
9527;13446;medMetreringsretning;Med metreringsretning
9527;13447;motMetreringsretning;Mot metreringsretning
1256;3164;bolig;Bolig
1256;3165;hytte;Hytte
1256;3166;gardsbruk;Gardsbruk
1256;3167;dyrkamarkJordbruk;Dyrkamark/jordbruk
1256;3168;skogSkogbruk;Skog/skogbruk
1256;3169;forretning;Forretning
1256;3170;industri;Industri
1256;3171;service;Service
1256;3172;skole;Skole
1256;3173;fritidsaktivitet;Fritidsaktivitet
1256;3174;naust;Naust
1828;3598;ok;Ok
1828;3607;tiltaksbehov;Tiltaksbehov
7993;10259;stat_StatensVegvesen;Stat, Statens vegvesen
7993;18557;stat_NyeVeier;Stat, Nye Veier
7993;10721;fylkeskommune;Fylkeskommune
7993;10323;kommune;Kommune
7993;10387;privat;Privat
7993;17576;uavklart;Uavklart
1824;3175;1til2leiligheter;1-2leiligheter
1824;3176;3til5Leiligheter;3-5 leiligheter
1824;3177;6til10Leiligheter;6-10 leiligheter
1824;3178;over10Leiligheter;> 10 leiligheter
1824;3179;1til2Hytter;1-2 hytter
1824;3180;3til5Hytter;3-5 hytter
1824;3181;over5Hytter;> 5 hytter
1824;3182;1GardsbrukIDrift;1 gardsbruk i drift
1824;3183;2til3GardsbrukIDrift;2-3 gardsbruk i drift
1824;3184;nedlagtGardsbruk;Nedlagt gardsbruk
1824;3185;jordGrustak;Jord/grustak
1824;3186;tømmeropplagringVelteplass;Tømmeropplagring/velteplass
1824;3187;grustakSteinbrudd;Grustak/steinbrudd
1824;3188;litenForretning;Liten forretning
1824;3189;middelsLandhandel;Middels landhandel
1824;3190;stortForretningssenter;Stort forretningssenter
1824;3191;kioskGatekjøkken;Kiosk/gatekjøkken
1824;3192;hotellUnder50Plasser;Hotell < 50 plasser
1824;3193;hotellOver50Plasser;Hotell > 50 plasser
1824;3194;bensinstasjon_Bilverksted;Bensinstasjon, bilverksted
1824;3195;sykehusUnder50Plasser;Sykehus < 50 plasser
1824;3196;sykehusOver50Plasser;Sykehus > 50 plasser
