ftid;name
470;Antenne
609;Armeringsnett
517;ArtsrikVegkant
775;ATK_Influensstrekning
162;ATK_Punkt
46;Avkjørsel
815;Avkjørsel_Holdningsklasse
791;Avrettingslag
335;Avstandsmåling
208;BassengMagasin
87;Belysningspunkt
86;Belysningsstrekning
923;Beredskapsveg
147;Bergrom
72;Bergsikring
71;Betongutstøping
274;Blomsterbeplantning
45;Bomstasjon
478;Branndetektor
952;BrannhendelseITunnel
474;Brannslokkingsanlegg
213;Brannslokningsapparat
475;Brannvarslingsanlegg
293;Breddemåling
60;Bru
893;Bruksklasse_12_100_Vegnett
894;Bruksklasse_12_100_Vegnett_Uoffisiell
891;Bruksklasse_12_65Mobilkran_Mm
892;Bruksklasse_12_65Mobilkran_Mm_Uoffisiell
889;Bruksklasse_Modulvogntog
890;Bruksklasse_Modulvogntog_Uoffisiell
904;Bruksklasse_Normaltransport
905;Bruksklasse_Normaltransport_Uoffisiell
902;Bruksklasse_Spesialtransport
903;Bruksklasse_Spesialtransport_Uoffisiell
900;Bruksklasse_Tømmertransport
901;Bruksklasse_Tømmertransport_Uoffisiell
857;Brøyterode
21;Brøytestikk
511;Busker
771;Byggegrense
65;Bygning
226;Bærelag
811;Dataanalyse
521;Dekketilstandsmåling
167;Detektor_Trafikk
273;Dyresperre
809;Døgnhvileplass
461;ElektriskAnlegg
906;ElektriskKomponent_Test
453;ElektrostatiskRensesløyfe
81;ElvBekk_Gjenlagt
608;Entreprenør
845;Fanggjerde
103;Fartsdemper
105;Fartsgrense
721;FartsgrenseVariabel
624;Fartstavle
934;Fastmerke
872;Faunapassasje
884;Feierode
616;Feltstrekning
22;Ferist
64;Ferjeleie
41;Ferjeoppstillingsplass
770;Ferjesamband
807;Ferjestrekning
59;Fiberduk
613;Filterlag
833;Forbikjøringsstrekning
819;Fordelingstavle
596;Forkjørsveg
227;Forsterkningslag
48;Fortau
458;Fotocelle
800;FremmedeArter
765;Friksjonsforbedring
626;Friksjonsmåleserie
526;Friksjonsmåling
910;FrittståendeKamerastasjon
229;Frostsikringslag
821;FunksjonellVegklasse
912;Funksjonsklasse
945;Fylke
535;Fylke2019
930;Fylling_Volum
137;Fyllingsskråning
783;FysiskInngrepIVannforekomst
835;Gangadkomst
174;Gangfelt
215;Gassmåler
538;Veglenkeadresse
812;Gatevarme
7;Gjerde
855;Gjerdeport
15;Grasdekker
938;Gravetillatelse
80;Grøft_Åpen
832;Grøfteklasse
508;Grøntanlegg
949;GSVLangsAnnenVegkategori
813;Gågatereguleringer
944;HastighetssoneGeoSUM_Test
487;Holdeplassutrustning
209;Hydrant
82;Hydraveg
591;Høydebegrensning
610;Høydehinder
462;Høydemåler
113;Høydemåling
937;Høyttaler
936;Høyttalersystem
606;InnkjøringForbudt
803;Inspeksjonsluke
100;Jernbanekryssing
525;Jevnhetsmåling_AvledaPr20M
799;JordvollMotFjellskjæring
92;Kabel
183;Kabelbr_Uten_Stige
843;Kabelgrøft
897;Kalksementpeler
163;Kamera
301;Kantklippareal
9;Kantstein
20;KantstolperRefleks
784;KjemiskPåvirkningAvVannforekomst
881;Klimaanlegg
42;Kollektivknutepunkt
319;Kolonnestrekning
297;Kommentar
946;Kommune
