ftid;name
470;Antenne
609;Armeringsnett
517;Artsrik vegkant
775;ATK, influensstrekning
162;ATK-punkt
46;Avkjørsel
815;Avkjørsel, holdningsklasse
791;Avrettingslag
335;Avstandsmåling
208;Basseng/Magasin
87;Belysningspunkt
86;Belysningsstrekning
923;Beredskapsveg
147;Bergrom
72;Bergsikring
71;Betongutstøping
274;Blomsterbeplantning
45;Bomstasjon
478;Branndetektor
474;Brannslokkingsanlegg
213;Brannslokningsapparat
475;Brannvarslingsanlegg
293;Breddemåling
450;Breddeutvidelse, kryss
60;Bru
893;Bruksklasse, 12/100-vegnett
894;Bruksklasse, 12/100-vegnett, uoffisiell
891;Bruksklasse, 12/65 mobilkran m.m.
892;Bruksklasse, 12/65 mobilkran m.m., uoffisiell
889;Bruksklasse, modulvogntog
890;Bruksklasse, modulvogntog, uoffisiell
904;Bruksklasse, normaltransport
905;Bruksklasse, normaltransport, uoffisiell
902;Bruksklasse, spesialtransport
903;Bruksklasse, spesialtransport, uoffisiell
900;Bruksklasse, tømmertransport
901;Bruksklasse, tømmertransport, uoffisiell
857;Brøyterode
21;Brøytestikk
511;Busker
771;Byggegrense
65;Bygning
226;Bærelag
811;Dataanalyse
521;Dekketilstandsmåling
167;Detektor, trafikk
446;Dokumentasjon
273;Dyresperre
809;Døgnhvileplass
461;Elektrisk anlegg
906;Elektrisk komponent (test)
453;Elektrostatisk rensesløyfe
81;Elv/Bekk, gjenlagt
608;Entreprenør
845;Fanggjerde
103;Fartsdemper
105;Fartsgrense
721;Fartsgrense, variabel
624;Fartstavle
934;Fastmerke
872;Faunapassasje
884;Feierode
616;Feltstrekning
22;Ferist
64;Ferjeleie
41;Ferjeoppstillingsplass
770;Ferjesamband
807;Ferjestrekning
59;Fiberduk
613;Filterlag
833;Forbikjøringsstrekning
819;Fordelingstavle
596;Forkjørsveg
227;Forsterkningslag
48;Fortau
458;Fotocelle
800;Fremmede arter
765;Friksjonsforbedring
626;Friksjonsmåleserie
526;Friksjonsmåling
910;Frittstående kamerastasjon
229;Frostsikringslag
821;Funksjonell vegklasse
912;Funksjonsklasse
535;Fylke
137;Fylling
783;Fysisk inngrep i vannforekomst
575;Fysisk tiltak
835;Gangadkomst
174;Gangfelt
215;Gassmåler
538;Gate
812;Gatevarme
7;Gjerde
855;Gjerdeport
15;Grasdekker
938;Gravetillatelse
80;Grøft, åpen
832;Grøfteklasse
508;Grøntanlegg
813;Gågate
487;Holdeplassutrustning
209;Hydrant
82;Hydraveg
591;Høydebegrensning
610;Høydehinder
462;Høydemåler
113;Høydemåling
937;Høyttaler
936;Høyttalersystem
606;Innkjøring forbudt
803;Inspeksjonsluke
100;Jernbanekryssing
525;Jevnhetsmåling (avleda pr 20 m)
799;Jordvoll mot fjellskjæring
92;Kabel
183;Kabelbru/stige
843;Kabelgrøft
897;Kalksementpeler
163;Kamera
301;Kantklippareal
9;Kantstein
20;Kantstolper/Refleks
881;Klimaanlegg
42;Kollektivknutepunkt
319;Kolonnestrekning
297;Kommentar
536;Kommune
779;Kommunedele
460;Kondensmåler
580;Kontraktsområde
44;Kontroll-/veieplass
918;Kryssdel
504;Kryssingsmulighet/Åpning
917;Kryssystem
83;Kum
